study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test,reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,T.started,text_2.started,textbox.started,text_3.started,mouse.started,T.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,9,9,0,,,m_u_e,mouse,old,mouse,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.827144400216639],['text_3'],,,,,0,9,9,8,30.3910566,,,,,,,,30.3745293,30.3910566,30.3910566,30.3910566,0.0045359,33.2027585,mouse,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.827144400216639],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,10,10,0,,,c_a_t,chart,old,chart,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.844873399939388],['text_3'],,,,,0,10,10,6,33.2241056,,,,,,,,33.2072469,33.2241056,33.2241056,33.2241056,0.0043477,35.053432,chart,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.844873399939388],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,11,11,0,,,c_m_ra,camera,new,camera,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.9772419999353588],['text_3'],,,,,0,11,11,19,35.0747033,,,,,,,,35.0578844,35.0747033,35.0747033,35.0747033,0.0043229,38.0361677,camera,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.9772419999353588],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,12,12,0,,,p_on_,phone,old,phone,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.827167599927634],['text_3'],,,,,0,12,12,2,38.0578532,,,,,,,,38.0409209,38.0578532,38.0578532,38.0578532,0.0045872,39.8691264,phone,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.827167599927634],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,13,13,0,,,po_s_r,poster,old,poster,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[4.577392000006512],['text_3'],,,,,0,13,13,14,39.8899063,,,,,,,,39.873959,39.8899063,39.8899063,39.8899063,0.004652,44.4524354,poster,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[4.577392000006512],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,14,14,0,,,c_s_,case,old,case,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.9115781001746655],['text_3'],,,,,0,14,14,10,44.4731883,,,,,,,,44.4564918,44.4731883,44.4731883,44.4731883,0.0039117,46.3691791,case,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.9115781001746655],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,15,15,0,,,v_s_,vase,new,vase,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.6750737999100238],['text_3'],,,,,0,15,15,17,46.3921237,,,,,,,,46.3759847,46.3921237,46.3921237,46.3921237,0.0066668,48.0522186,vase,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.6750737999100238],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,16,16,0,,,cr_i_e,cruise,old,cruise,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.828508700011298],['text_3'],,,,,0,16,16,11,48.0735962,,,,,,,,48.056695,48.0735962,48.0735962,48.0735962,0.0043061,49.8863538,cruise,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[1.828508700011298],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,17,17,0,,,_o_ic_,police,old,police,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.692716100020334],['text_3'],,,,,0,17,17,12,49.907152,,,,,,,,49.8915616,49.907152,49.907152,49.907152,0.005048,52.5854101,police,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.692716100020334],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,18,18,0,,,_ar__e,marble,old,marble,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[4.510710899950936],['text_3'],,,,,0,18,18,3,52.6066619,,,,,,,,52.5898843,52.6066619,52.6066619,52.6066619,0.0043338,57.1017544,marble,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[4.510710899950936],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,19,19,0,,,p_nc_l,pencil,new,pencil,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.1109700000379235],['text_3'],,,,,0,19,19,16,57.123384,,,,,,,,57.1065243,57.123384,57.123384,57.123384,0.0046296,59.2186601,pencil,[-0.08854166666666667],[-0.29296875],[1],[0],[0],[2.1109700000379235],['text_3'],27089,1,2024-10-27_21h06.19.575,word priming,2024.2.1post4,59.96720996,2024-10-27 21h06.34.639348 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,old,14,0.933333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,new,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,priming,-0.066666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
